unix,pax_mcap
1551657600,117908596.58445388
1551744000,118427243.62503561
1551830400,117650183.96681118
1551916800,117654941.48909858
1552003200,117813419.95961124
1552089600,118258177.74945922
1552176000,118113210.02816457
1552262400,116922746.15063027
1552348800,117802451.31263271
1552435200,117721510.31933956
1552521600,118987566.19900501
1552608000,118785770.58973667
1552694400,118430575.37905954
1552780800,117045089.92310192
1552867200,119963460.2079218
1552953600,119939565.54564357
1553040000,117405581.51776084
1553126400,119484312.99714382
1553212800,119377295.87608095
1553299200,119633045.09026295
1553385600,119240487.67815019
1553472000,119711316.35863991
1553558400,119859671.09800829
1553644800,120356394.56861268
1553731200,119091423.9611164
1553817600,118464278.44197085
1553904000,118447498.42539574
1553990400,118333956.76908046
1554076800,115459639.24715915
1554163200,110929961.96905136
1554249600,111561663.80349478
1554336000,110968059.43627337
1554422400,107438225.47397296
1554508800,107528085.2776203
1554595200,107790444.2355899
1554681600,106112104.52461828
1554768000,110422079.6228269
1554854400,110263495.15445481
1554940800,107080591.48315878
1555027200,107526498.6137976
1555113600,107676811.31692842
1555200000,110163431.58910833
1555286400,109313267.18416758
1555372800,109186426.3977111
1555459200,110366594.53895281
1555545600,108091942.550769
1555632000,107865401.13627824
1555718400,108290060.60742639
1555804800,108793941.85825199
1555891200,105005502.7191727
1555977600,104449009.54048814
1556064000,112610577.887099
1556150400,113407305.16153312
1556236800,131698227.0545916
1556323200,133752237.35486035
1556409600,136765325.587422
1556496000,154102094.70247823
1556582400,161420698.4807957
1556668800,163819165.24223524
1556755200,169917967.22812244
1556841600,178933642.49118215
1556928000,181179350.95394227
1557014400,183603926.89441815
1557100800,180655059.81843293
1557187200,180766078.0448048
1557273600,180685513.65310997
1557360000,182391817.09263155
1557446400,192421668.90825546
1557532800,191119594.5903484
1557619200,193648516.1261884
1557705600,193027507.90552709
1557792000,196641750.56161976
1557878400,193839213.0119768
1557964800,183413186.1384375
1558051200,184136904.88617525
1558137600,184742444.17118856
1558224000,188837848.00776353
1558310400,184255251.91711736
1558396800,179556934.3219238
1558483200,177725468.51350063
1558569600,177588142.13615873
1558656000,176733066.89184055
1558742400,175966783.04229426
1558828800,175823283.08664095
1558915200,170509655.81908527
1559001600,172744436.89367244
1559088000,176047190.11675245
1559174400,165489556.6653378
1559260800,165786044.49022597
1559347200,167200805.88676268
1559433600,166584815.53292635
1559520000,165132581.3008117
1559606400,165347899.4263645
1559692800,166290988.61043596
1559779200,171194616.98215616
1559865600,178060990.76750916
1559952000,178508510.0392763
1560038400,178132312.1821303
1560124800,175586964.46128726
1560211200,169711505.15789163
1560297600,178070795.5898675
1560384000,172840069.27938148
1560470400,175080712.35619187
1560556800,179102566.9651174
1560643200,179490951.7923012
1560729600,167133206.41756484
1560816000,169578349.796292
1560902400,161077377.93737873
1560988800,159096054.95525607
1561075200,159105191.01500723
1561161600,159903368.7583284
1561248000,159850395.844936
1561334400,149954486.28025442
1561420800,152393453.74825963
1561507200,142586623.95799494
1561593600,153373471.26093918
1561680000,164043001.71380618
1561766400,164335115.18657127
1561852800,165590577.65158725
1561939200,148205422.08971637
1562025600,154571132.90075198
1562112000,159480028.14397526
1562198400,159476015.92566326
1562284800,163430964.0803922
1562371200,163296558.05722928
1562457600,162882118.14084
1562544000,152657301.31521794
1562630400,142218076.58696198
1562716800,145958008.03229475
1562803200,151158721.9159609
1562889600,159070449.51646024
1562976000,165082965.49369404
1563062400,165917353.88068068
1563148800,172832892.1014398
1563235200,172701986.5046735
1563321600,181213352.11986884
1563408000,193104590.54107404
1563494400,170063787.30409503
1563580800,170734269.71393272
1563667200,179140222.3040166
1563753600,182733290.53487965
1563840000,186100431.51435962
1563926400,189420388.04002053
1564012800,196139142.95897585
1564099200,202504934.37962294
1564185600,208679348.98549652
1564272000,213750308.81656832
1564358400,230137518.77111697
1564444800,233833249.7506281
1564531200,241475112.91034383
1564617600,245644358.16888046
1564704000,237872830.97622815
1564790400,244602606.95844588
1564876800,247456486.83232516
1564963200,233953977.16269737
1565049600,235587615.5257773
1565136000,220059854.8283758
1565222400,214309133.7317543
1565308800,203049904.36304036
1565395200,203178064.8091738
1565481600,205359471.17716065
1565568000,206303265.00778452
1565654400,192636544.765202
1565740800,196458611.86998096
1565827200,186613560.6920513
1565913600,192013231.70338055
1566000000,192501749.19566226
1566086400,191746728.39304015
1566172800,198597221.40270227
1566259200,196094536.04776335
1566345600,197498519.56795308
1566432000,197435146.4785771
1566518400,199782870.7109228
1566604800,199541652.66037694
1566691200,199863223.97332197
1566777600,200620602.44428274
1566864000,198909993.63033435
1566950400,197442808.91086727
1567036800,198566489.0689812
1567123200,200639215.61551553
1567209600,200381705.24172065
1567296000,199707179.347884
1567382400,200581479.57762408
1567468800,219854140.47988248
1567555200,223013998.28656888
1567641600,233731083.45630032
1567728000,237699664.78108296
1567814400,236934096.78194728
1567900800,237540144.8370658
1567987200,235959888.36480287
1568073600,234394451.29992566
1568160000,240366722.47346467
1568246400,239145918.0059753
1568332800,237156618.36596188
1568419200,236659256.17962357
1568505600,236906526.61509132
1568592000,234106650.95143968
1568678400,230634683.03146905
1568764800,227442908.10947043
1568851200,228802282.91899577
1568937600,227925493.07633606
1569024000,227478221.1504442
1569110400,228203867.47597462
1569196800,238783778.86258063
1569283200,253355937.41812807
1569369600,257311672.67248523
1569456000,253747962.92524046
1569542400,253617206.99370205
1569628800,253808618.6294417
1569715200,253624610.291557
1569801600,254904142.50171646
1569888000,258076634.651904
1569974400,258076634.651904
1570060800,258028142.52466235
1570147200,257679694.5772922
1570233600,257826231.90767938
1570320000,257725841.17454955
1570406400,256605535.4493949
1570492800,258057231.08232737
1570579200,263544600.88393214
1570665600,256735746.59965396
1570752000,255659112.14075473
1570838400,255922110.54811832
1570924800,256382367.71406972
1571011200,255245015.22130367
1571097600,254632609.87103626
1571184000,250602360.7847581
1571270400,248813661.42701545
1571356800,250340915.13090548
1571443200,250313592.6055906
1571529600,250428223.45128304
1571616000,248568008.28867835
1571702400,256789984.7495045
1571788800,258608856.5204721
1571875200,257621281.4825536
1571961600,258891704.0926047
1572048000,257647855.3068345
1572134400,263548986.2202089
1572220800,260598237.36450547
1572307200,254293473.67433423
1572393600,252685018.57602754
1572480000,248102773.3661858
1572566400,242692966.68291909
1572652800,242393722.22354096
1572739200,242168537.67071187
1572825600,249212824.4479488
1572912000,243229055.47016847
1572998400,243843745.5506822
1573084800,241821180.05592972
1573171200,231649250.29035786
1573257600,231734918.2321869
1573344000,232071131.72823432
1573430400,232696532.93096668
1573516800,227889704.11412504
1573603200,230051403.02567554
1573689600,231935993.60372207
1573776000,226515154.7729802
1573862400,227662673.35875645
1573948800,226850522.1307398
1574035200,219375056.30345306
1574121600,219799738.20231995
1574208000,221349753.59492406
1574294400,220281530.9586311
1574380800,209641997.59714165
1574467200,209113479.48185232
1574553600,208412732.51484624
1574640000,205847949.68919966
1574726400,206789035.56490108
1574812800,209953642.6096159
1574899200,208334486.08967257
1574985600,218816780.71546516
1575072000,218847302.96707743
1575158400,218243933.28955042
1575244800,236485470.4285399
1575331200,241564609.20669356
1575417600,240106764.19896048
1575504000,234185472.45594233
1575590400,235670616.0089418
1575676800,235054782.07158473
1575763200,235150699.0766501
1575849600,236932752.83607942
1575936000,237309166.32097927
1576022400,233871301.0913646
1576108800,233145886.9216198
1576195200,229177917.63917956
1576281600,228750908.27977794
1576368000,229131080.45266038
1576454400,237822189.03416577
1576540800,240104461.25002912
1576627200,241024781.2136339
1576713600,237058791.61950517
1576800000,236937534.63398778
1576886400,237015429.029226
1576972800,237120286.24435884
1577059200,236862362.40298945
1577145600,231569834.0565963
1577232000,232104128.0534157
1577318400,225597779.31316388
1577404800,222782817.32925367
1577491200,223011010.31197548
1577577600,222525374.281454
1577664000,224734677.00054845
1577750400,224290632.87170964
1577836800,224386802.08228377
1577923200,220958572.2167728
1578009600,253008963.8360545
1578096000,252869984.79884532
1578182400,252136012.08988726
1578268800,258232148.3920092
1578355200,263820198.5119411
1578441600,264548823.85612738
1578528000,258832836.44444355
1578614400,243814970.37252587
1578700800,242458147.1620482
1578787200,243231020.29468504
1578873600,231533378.71021575
1578960000,230837508.9683265
1579046400,224189843.23543146
1579132800,231968609.65229988
1579219200,223299826.83971184
1579305600,222758660.05878526
1579392000,222423548.7856429
1579478400,218832018.67569417
1579564800,214670948.24850547
1579651200,210676947.49584222
1579737600,210884601.24127558
1579824000,210160811.85621506
1579910400,209888404.4489298
1579996800,209618595.3326157
1580083200,207784201.84581083
1580169600,214911442.74209487
1580256000,218485622.9637291
1580342400,227412473.2111063
1580428800,226247373.46557915
1580515200,225781577.72404188
1580601600,226474556.94627896
1580688000,224617104.06005424
1580774400,221928017.2443689
1580860800,219522759.25747213
1580947200,225903978.54840067
1581033600,214419978.59614047
1581120000,219863184.33299863
1581206400,221179039.629971
1581292800,217614134.85804802
1581379200,219020246.458117
1581465600,213028925.07001498
1581552000,214861084.94353458
1581638400,208640391.2343662
1581724800,208209582.84449175
1581811200,209221813.7203487
1581897600,210257074.37912795
1581984000,208726496.70946896
1582070400,211850406.2378503
1582156800,218165709.9017271
1582243200,222406695.6907995
1582329600,222378266.59395912
1582416000,222570728.1451945
1582502400,204086834.2399994
1582588800,201689557.3276245
1582675200,201176338.11028373
1582761600,201863685.95980406
1582848000,199474990.86448482
1582934400,198830530.2269643
1583020800,199172510.15853247
1583107200,190917479.44522598
1583193600,189758991.22155583
1583280000,191144101.1931708
1583366400,190068024.8196667
1583452800,192227484.9709444
1583539200,191852012.87728518
1583625600,189680734.40760767
1583712000,201245501.45682117
1583798400,205356406.46643406
1583884800,209197058.17445832
1583971200,196185912.837937
1584057600,210488886.19336995
1584144000,221715148.81163612
1584230400,224291393.87862095
1584316800,218053884.48639435
1584403200,224249951.56227466
1584489600,228957589.45354924
1584576000,234395959.92660725
1584662400,232317373.62279654
1584748800,231059098.79219216
1584835200,232054475.79436564
1584921600,245821730.46632332
1585008000,264559706.98184144
1585094400,267430526.5498795
1585180800,260372164.21611282
1585267200,254362806.0026136
1585353600,254675369.67871892
1585440000,251860551.92727262
1585526400,244386554.68441486
1585612800,247503194.30570075
1585699200,251495737.404371
1585785600,252684321.43109915
1585872000,248797482.4647017
1585958400,248898960.83712605
1586044800,249186937.99289638
1586131200,249928804.84812775
1586217600,252762040.31647676
1586304000,252469446.4075815
1586390400,255609654.32713288
1586476800,255454441.3081344
1586563200,255859905.7046176
1586649600,258624089.96798527
1586736000,258909328.08235654
1586822400,262904557.49805865
1586908800,258370434.24063778
1586995200,256118483.37403482
1587081600,251028014.06169662
1587168000,250807557.26886258
1587254400,252156317.96802223
1587340800,260607805.83050576
1587427200,266193763.56408843
1587513600,268163580.98205298
1587600000,260989718.87069866
1587686400,258510808.25572243
1587772800,260195624.59874526
1587859200,261874417.5210346
1587945600,265234440.14750066
1588032000,265189354.55612168
1588118400,258401250.0886683
1588204800,254768997.80455214
1588291200,254698736.5540126
1588377600,250438754.27712
1588464000,252929958.04032555
1588550400,257491586.15677527
1588636800,261827066.75510457
1588723200,257716132.42719975
1588809600,261002693.29933724
1588896000,259254089.01061025
1588982400,257869379.04981962
1589068800,250087635.46300748
1589155200,243939684.21885476
1589241600,246139944.18539074
1589328000,249916774.9151719
1589414400,244234093.7190767
1589500800,250124166.4980662
1589587200,250255154.07155338
1589673600,250650171.57565734
1589760000,253682588.32481006
1589846400,247771860.0087
1589932800,245933312.71204168
1590019200,244224866.16534784
1590105600,245891933.07673755
1590192000,246223620.4232324
1590278400,250589636.74324268
1590364800,251818273.63437665
1590451200,247482458.65291178
1590537600,249590252.3979948
1590624000,251450243.34948575
1590710400,245330242.538814
1590796800,245570693.4540298
1590883200,245441624.9042461
1590969600,243652284.98961115
1591056000,242041073.80982757
1591142400,239879514.04796457
1591228800,243501819.5739487
1591315200,244228445.22522846
1591401600,245056416.07544705
1591488000,244764768.1537709
1591574400,246593649.29051465
1591660800,245826121.80030197
1591747200,249412946.92685327
1591833600,247018948.22685292
1591920000,248926821.36966124
1592006400,248457091.68442258
1592092800,248663782.34004685
1592179200,246397333.16832125
1592265600,250770708.43569335
1592352000,248699539.71927798
1592438400,247340944.08910903
1592524800,244896308.2588693
1592611200,245149517.68854007
1592697600,247251935.59932676
1592784000,247407896.33379075
1592870400,250057772.83624908
1592956800,244177242.0874963
1593043200,246902027.19816726
1593129600,242284248.91018185
1593216000,242138114.01508313
1593302400,247083071.77461126
1593388800,238761611.26411644
1593475200,241298824.61423674
1593561600,243400656.21073535
1593648000,240513677.41914698
1593734400,246249749.35558408
1593820800,246105665.29592404
1593907200,246190160.55355418
1593993600,246517038.79432788
1594080000,251243712.1938238
1594166400,251693398.5430188
1594252800,240404519.37935147
1594339200,239183038.90092027
1594425600,239887161.2808472
1594512000,240175150.57037133
1594598400,238763668.76388004
1594684800,239274433.88692898
1594771200,234803565.5608506
1594857600,230238502.08090508
1594944000,231544023.15081355
1595030400,235761038.09092388
1595116800,235945272.20859432
1595203200,237025858.68570954
1595289600,238606052.69234788
1595376000,239965412.57124248
1595462400,243741692.4233946
1595548800,246220655.8402807
1595635200,245703659.5539941
1595721600,251466210.3739432
1595808000,252159770.56605002
1595894400,252741715.64634058
1595980800,252796196.237127
1596067200,250513745.06001046
1596153600,253432518.72159362
1596240000,256467182.13998604
1596326400,252247745.068119
1596412800,252057102.5883635
1596499200,251694482.08258766
1596585600,257265051.87669456
1596672000,264627757.6064303
1596758400,261770775.08564857
1596844800,260609029.5762201
1596931200,262025278.71926346
1597017600,255410384.38031575
1597104000,252317517.4489002
1597190400,253995908.49133375
1597276800,252759519.4847949
1597363200,257682675.02967376
1597449600,257735504.6350281
1597536000,257907466.7320612
1597622400,258629297.5813757
1597708800,261620123.09772444
1597795200,254959730.08081824
1597881600,258645165.21523437
1597968000,260690448.6702023
1598054400,262148480.62401465
1598140800,263440935.06213492
1598227200,265386363.50733906
1598313600,268506910.26664484
1598400000,265752400.37758347
1598486400,279434449.32718635
1598572800,278599169.96204114
1598659200,275840480.7260686
1598745600,276232322.1222127
1598832000,268501662.01508045
1598918400,267767768.51633754
1599004800,271860727.12375784
1599091200,274566455.0831212
1599177600,290572091.98070186
1599264000,288547385.0909348
1599350400,297018004.4136098
1599436800,294521647.3007605
1599436800,297018004.4136098
1599440350,296315768.5713651
1599443900,296015942.9768079
1599447450,294689510.252785
1599451000,296100933.53963286
1599454550,294917202.37044054
1599458100,296564966.4908403
1599461650,295238612.53311366
1599465200,295083322.20045495
1599468750,295609154.418948
1599472300,294843015.11595225
1599475850,294899506.04225063
1599479400,293973265.917064
1599482950,293667555.1315491
1599486500,296958222.135054
1599490050,293988374.66447735
1599493600,295943394.2754449
1599497150,295320828.0721585
1599500700,295020860.2880815
1599504250,294923373.60527277
1599507800,294807915.8637276
1599511350,294861524.11005634
1599514900,294009871.0225293
1599518450,294450426.28109276
1599522000,294604568.9248927
1599525550,294765846.15520686
1599529100,295056613.221066
1599532650,289286488.36136013
1599536200,289367129.0425344
1599539750,289002667.8995397
1599543300,289003309.02732146
1599546850,289772392.2471283
1599550400,289532083.8511747
1599553950,288656494.4342758
1599557500,290150717.3211427
1599561050,288872921.4657684
1599564600,289686371.0319513
1599568150,290415735.1430306
1599571700,290644920.53233004
1599575250,288479376.2492888
1599578800,287716029.82834005
1599582350,287966986.3159223
1599585900,290043799.28628993
1599589450,291364554.4353309
1599593000,287159567.9840384
1599596550,290436227.84164053
1599600100,290162457.531232
1599603650,286420635.68867964
1599607200,285561390.6188217
1599610750,285707671.2595474
1599614300,285438247.37418354
1599617850,285027213.7995241
1599621400,285027388.0208747
1599624950,285167470.7515225
1599628500,283909667.05899405
