unix,dai_mcap
1596844800,383999249.12323195
1596931200,383463405.40891385
1597017600,424372186.0774024
1597104000,428380630.16322786
1597190400,425553140.7532102
1597276800,435923683.05305076
1597363200,415657266.9815674
1597449600,415930724.58108544
1597536000,423689537.28378683
1597622400,429635612.2051514
1597708800,428248084.1811536
1597795200,422939402.7731869
1597881600,433406175.0136079
1597968000,435985038.4436561
1598054400,443541608.272149
1598140800,445425128.8674605
1598227200,449461905.93555105
1598313600,450681551.7947641
1598400000,453067357.68045026
1598486400,450446823.4645822
1598572800,449994717.1680161
1598659200,442729019.277792
1598745600,448769575.1624346
1598832000,445706299.8286813
1598918400,468313157.81010205
1599004800,493459666.4078496
1599091200,520082677.3568309
1599177600,467054804.573293
1599264000,442472478.61251414
1599350400,432144169.8408567
1599436800,438965908.3577825
