,unix,tusd_mcap
99,1530403200,83024387.7617556
100,1530489600,88390222.84254119
101,1530576000,87848836.6100783
102,1530662400,87131920.46945927
103,1530748800,87746624.12069917
104,1530835200,85354187.03946033
105,1530921600,85119286.12496239
106,1531008000,84857496.23045999
107,1531094400,79886429.51090597
108,1531180800,79901242.10381885
109,1531267200,79243539.86867759
110,1531353600,79192386.35129076
111,1531440000,79490404.07495598
112,1531526400,78991452.84487714
113,1531612800,79031702.3570834
114,1531699200,78904704.8837369
115,1531785600,80187289.5391961
116,1531872000,77548068.70414063
117,1531958400,77122910.28372572
118,1532044800,76813215.23081616
119,1532131200,76206978.8283891
120,1532217600,76294827.55907954
121,1532304000,71870991.10191803
122,1532390400,70144082.15387228
123,1532476800,69188474.93058506
124,1532563200,67378404.88407044
125,1532649600,62366849.291338615
126,1532736000,62531832.22169568
127,1532822400,62217442.90995363
128,1532908800,61878741.074407354
129,1532995200,60172192.653372064
130,1533081600,58032274.43467561
131,1533168000,60695470.19090885
132,1533254400,59146650.15658679
133,1533340800,59451116.42044792
134,1533427200,59546309.58372662
135,1533513600,58943273.53954861
136,1533600000,58987378.28257524
137,1533686400,58432234.58563237
138,1533772800,59127410.64996379
139,1533859200,59348011.41254609
140,1533945600,60834435.193000145
141,1534032000,60804161.039798625
142,1534118400,60900422.88666663
143,1534204800,58937556.10582248
144,1534291200,60122540.94346433
145,1534377600,64600251.60256977
146,1534464000,64568747.06531287
147,1534550400,65331314.470141746
148,1534636800,65150035.39942656
149,1534723200,65008151.54365529
150,1534809600,65272899.101028115
151,1534896000,66198779.709967576
152,1534982400,68127769.78929506
153,1535068800,68337332.08650392
154,1535155200,72304978.00892566
155,1535241600,72962017.77069527
156,1535328000,72763061.05940409
157,1535414400,72823074.05041336
158,1535500800,72922436.52769698
159,1535587200,72932956.05907814
160,1535673600,72537309.07296906
161,1535760000,73184445.07240535
162,1535846400,73199704.85490373
163,1535932800,73093019.07566737
164,1536019200,73170474.56590135
165,1536105600,74064605.91510947
166,1536192000,77342128.73794454
167,1536278400,77519149.65037124
168,1536364800,77483179.30149522
169,1536451200,78930617.13972527
170,1536537600,78670201.63857515
171,1536624000,82276934.1345511
172,1536710400,82243191.80861981
173,1536796800,82348639.09504579
174,1536883200,82455009.50767118
175,1536969600,85534920.98722742
176,1537056000,85567480.38054271
177,1537142400,86293200.92117682
178,1537228800,91553598.29202501
179,1537315200,93694585.76408873
180,1537401600,93538140.8387671
181,1537488000,93575519.22236349
182,1537574400,94032077.977881
183,1537660800,93652565.92968369
184,1537747200,93612162.27339236
185,1537833600,93446545.946984
186,1537920000,93540740.14036322
187,1538006400,93883154.95336087
188,1538092800,103831930.37175594
189,1538179200,104135823.17222337
190,1538265600,103682162.3735288
191,1538352000,103433900.55604652
192,1538438400,107623185.48556963
193,1538524800,119886107.12604906
194,1538611200,117962452.68874767
195,1538697600,118679896.46706256
196,1538784000,118898446.7083539
197,1538870400,118889546.02065772
198,1538956800,117190282.01432079
199,1539043200,119257097.44907475
200,1539129600,119846790.52130418
201,1539216000,127036938.37614717
202,1539302400,135370006.49174356
203,1539388800,139336548.83522865
204,1539475200,141365939.0977656
205,1539561600,159694883.57281843
206,1539648000,165211521.6072532
207,1539734400,164405503.18143648
208,1539820800,162198366.01643422
209,1539907200,167263880.23776498
210,1539993600,167750389.9824912
211,1540080000,171038835.14715558
212,1540166400,169627361.0099634
213,1540252800,177991783.70310393
214,1540339200,177424376.2687665
215,1540425600,177370724.63853297
216,1540512000,177196070.2015758
217,1540598400,176843133.2133926
218,1540684800,179860061.2622816
219,1540771200,178821183.28451616
220,1540857600,176768289.51035726
221,1540944000,174546690.63199586
222,1541030400,173918797.7610205
223,1541116800,173931018.40009895
224,1541203200,176558539.20516962
225,1541289600,172554575.8124684
226,1541376000,170161634.83207384
227,1541462400,162929237.1285118
228,1541548800,160512981.13883314
229,1541635200,160378411.92400053
230,1541721600,159779486.7496716
231,1541808000,159019522.15623304
232,1541894400,159682017.62481952
233,1541980800,160148597.3157485
234,1542067200,161250102.71068895
235,1542153600,163075380.96060345
236,1542240000,162326505.5062335
237,1542326400,162060219.68026528
238,1542412800,162757782.39584184
239,1542499200,162363166.9694519
240,1542585600,163246501.51874945
241,1542672000,169488094.1095899
242,1542758400,173567392.44711408
243,1542844800,184292006.7333692
244,1542931200,184402060.92062804
245,1543017600,187735350.96016982
