,unix,tether_dominance
463,1467676800,100.0
464,1467763200,100.0
465,1467849600,100.0
466,1467936000,100.0
467,1468022400,100.0
468,1468108800,100.0
469,1468195200,100.0
470,1468281600,100.0
471,1468368000,100.0
472,1468454400,100.0
473,1468540800,100.0
474,1468627200,100.0
475,1468713600,100.0
476,1468800000,100.0
477,1468886400,100.0
478,1468972800,100.0
479,1469059200,100.0
480,1469145600,100.0
481,1469232000,100.0
482,1469318400,100.0
483,1469404800,100.0
484,1469491200,100.0
485,1469577600,100.0
486,1469664000,100.0
487,1469750400,100.0
488,1469836800,100.0
489,1469923200,100.0
490,1470009600,100.0
491,1470096000,100.0
492,1470182400,100.0
493,1470268800,100.0
494,1470355200,100.0
495,1470441600,100.0
496,1470528000,100.0
497,1470614400,100.0
498,1470700800,100.0
499,1470787200,100.0
500,1470873600,100.0
501,1470960000,100.0
502,1471046400,100.0
503,1471132800,100.0
504,1471219200,100.0
505,1471305600,100.0
506,1471392000,100.0
507,1471478400,100.0
508,1471564800,100.0
509,1471651200,100.0
510,1471737600,100.0
511,1471824000,100.0
512,1471910400,100.0
513,1471996800,100.0
514,1472083200,100.0
515,1472169600,100.0
516,1472256000,100.0
517,1472342400,100.0
518,1472428800,100.0
519,1472515200,100.0
520,1472601600,100.0
521,1472688000,100.0
522,1472774400,100.0
523,1472860800,100.0
524,1472947200,100.0
525,1473033600,100.0
526,1473120000,100.0
527,1473206400,100.0
528,1473292800,100.0
529,1473379200,100.0
530,1473465600,100.0
531,1473552000,100.0
532,1473638400,100.0
533,1473724800,100.0
534,1473811200,100.0
535,1473897600,100.0
536,1473984000,100.0
537,1474070400,100.0
538,1474156800,100.0
539,1474243200,100.0
540,1474329600,100.0
541,1474416000,100.0
542,1474502400,100.0
543,1474588800,100.0
544,1474675200,100.0
545,1474761600,100.0
546,1474848000,100.0
547,1474934400,100.0
548,1475020800,100.0
549,1475107200,100.0
550,1475193600,100.0
551,1475280000,100.0
552,1475366400,100.0
553,1475452800,100.0
554,1475539200,100.0
555,1475625600,100.0
556,1475712000,100.0
557,1475798400,100.0
558,1475884800,100.0
559,1475971200,100.0
560,1476057600,100.0
561,1476144000,100.0
562,1476230400,100.0
563,1476316800,100.0
564,1476403200,100.0
565,1476489600,100.0
566,1476576000,100.0
567,1476662400,100.0
568,1476748800,100.0
569,1476835200,100.0
570,1476921600,100.0
571,1477008000,100.0
572,1477094400,100.0
573,1477180800,100.0
574,1477267200,100.0
575,1477353600,100.0
576,1477440000,100.0
577,1477526400,100.0
578,1477612800,100.0
579,1477699200,100.0
580,1477785600,100.0
581,1477872000,100.0
582,1477958400,100.0
583,1478044800,100.0
584,1478131200,100.0
585,1478217600,100.0
586,1478304000,100.0
587,1478390400,100.0
588,1478476800,100.0
589,1478563200,100.0
590,1478649600,100.0
591,1478736000,100.0
592,1478822400,100.0
593,1478908800,100.0
594,1478995200,100.0
595,1479081600,100.0
596,1479168000,100.0
597,1479254400,100.0
598,1479340800,100.0
599,1479427200,100.0
600,1479513600,100.0
601,1479600000,100.0
602,1479686400,100.0
603,1479772800,100.0
604,1479859200,100.0
605,1479945600,100.0
606,1480032000,100.0
607,1480118400,100.0
608,1480204800,100.0
609,1480291200,100.0
610,1480377600,100.0
611,1480464000,100.0
612,1480550400,100.0
613,1480636800,100.0
614,1480723200,100.0
615,1480809600,100.0
616,1480896000,100.0
617,1480982400,100.0
618,1481068800,100.0
619,1481155200,100.0
620,1481241600,100.0
621,1481328000,100.0
622,1481414400,100.0
623,1481500800,100.0
624,1481587200,100.0
625,1481673600,100.0
626,1481760000,100.0
627,1481846400,100.0
628,1481932800,100.0
629,1482019200,100.0
630,1482105600,100.0
631,1482192000,100.0
632,1482278400,100.0
633,1482364800,100.0
634,1482451200,100.0
635,1482537600,100.0
636,1482624000,100.0
637,1482710400,100.0
638,1482796800,100.0
639,1482883200,100.0
640,1482969600,100.0
641,1483056000,100.0
642,1483142400,100.0
643,1483228800,100.0
644,1483315200,100.0
645,1483401600,100.0
646,1483488000,100.0
647,1483574400,100.0
648,1483660800,100.0
649,1483747200,100.0
650,1483833600,100.0
651,1483920000,100.0
652,1484006400,100.0
653,1484092800,100.0
654,1484179200,100.0
655,1484265600,100.0
656,1484352000,100.0
657,1484438400,100.0
658,1484524800,100.0
659,1484611200,100.0
660,1484697600,100.0
661,1484784000,100.0
662,1484870400,100.0
663,1484956800,100.0
664,1485043200,100.0
665,1485129600,100.0
666,1485216000,100.0
667,1485302400,100.0
668,1485388800,100.0
669,1485475200,100.0
670,1485561600,100.0
671,1485648000,100.0
672,1485734400,100.0
673,1485820800,100.0
674,1485907200,100.0
675,1485993600,100.0
676,1486080000,100.0
677,1486166400,100.0
678,1486252800,100.0
679,1486339200,100.0
680,1486425600,100.0
681,1486512000,100.0
682,1486598400,100.0
683,1486684800,100.0
684,1486771200,100.0
685,1486857600,100.0
686,1486944000,100.0
687,1487030400,100.0
688,1487116800,100.0
689,1487203200,100.0
690,1487289600,100.0
691,1487376000,100.0
692,1487462400,100.0
693,1487548800,100.0
694,1487635200,100.0
695,1487721600,100.0
696,1487808000,100.0
697,1487894400,100.0
698,1487980800,100.0
699,1488067200,100.0
700,1488153600,100.0
701,1488240000,100.0
702,1488326400,100.0
703,1488412800,100.0
704,1488499200,100.0
705,1488585600,100.0
706,1488672000,100.0
707,1488758400,100.0
708,1488844800,100.0
709,1488931200,100.0
710,1489017600,100.0
711,1489104000,100.0
712,1489190400,100.0
713,1489276800,100.0
714,1489363200,100.0
715,1489449600,100.0
716,1489536000,100.0
717,1489622400,100.0
718,1489708800,100.0
719,1489795200,100.0
720,1489881600,100.0
721,1489968000,100.0
722,1490054400,100.0
723,1490140800,100.0
724,1490227200,100.0
725,1490313600,100.0
726,1490400000,100.0
727,1490486400,100.0
728,1490572800,100.0
729,1490659200,100.0
730,1490745600,100.0
731,1490832000,100.0
732,1490918400,100.0
733,1491004800,100.0
734,1491091200,100.0
735,1491177600,100.0
736,1491264000,100.0
737,1491350400,100.0
738,1491436800,100.0
739,1491523200,100.0
740,1491609600,100.0
741,1491696000,100.0
742,1491782400,100.0
743,1491868800,100.0
744,1491955200,100.0
745,1492041600,100.0
746,1492128000,100.0
747,1492214400,100.0
748,1492300800,100.0
749,1492387200,100.0
750,1492473600,100.0
751,1492560000,100.0
752,1492646400,100.0
753,1492732800,100.0
754,1492819200,100.0
755,1492905600,100.0
756,1492992000,100.0
757,1493078400,100.0
758,1493164800,100.0
759,1493251200,100.0
760,1493337600,100.0
761,1493424000,100.0
762,1493510400,100.0
763,1493596800,100.0
764,1493683200,100.0
765,1493769600,100.0
766,1493856000,100.0
767,1493942400,100.0
768,1494028800,100.0
769,1494115200,100.0
770,1494201600,100.0
771,1494288000,100.0
772,1494374400,100.0
773,1494460800,100.0
774,1494547200,100.0
775,1494633600,100.0
776,1494720000,100.0
777,1494806400,100.0
778,1494892800,100.0
779,1494979200,100.0
780,1495065600,100.0
781,1495152000,100.0
782,1495238400,100.0
783,1495324800,100.0
784,1495411200,100.0
785,1495497600,100.0
786,1495584000,100.0
787,1495670400,100.0
788,1495756800,100.0
789,1495843200,100.0
790,1495929600,100.0
791,1496016000,100.0
