,unix,dai_mcap
263,1597017600,424372186.0774024
264,1597104000,428380630.16322786
265,1597190400,425553140.7532102
266,1597276800,435923683.05305076
267,1597363200,415657266.9815674
268,1597449600,415930724.58108544
269,1597536000,423689537.28378683
270,1597622400,429635612.2051514
271,1597708800,428248084.1811536
272,1597795200,422939402.7731869
273,1597881600,433406175.0136079
274,1597968000,435985038.4436561
275,1598054400,443541608.272149
276,1598140800,445425128.8674605
277,1598227200,449461905.93555105
278,1598313600,450681551.7947641
279,1598400000,453067357.68045026
280,1598486400,450446823.4645822
281,1598572800,449994717.1680161
282,1598659200,442729019.277792
283,1598745600,448769575.1624346
284,1598832000,445706299.8286813
285,1598918400,468313157.81010205
286,1599004800,493459666.4078496
287,1599091200,520082677.3568309
288,1599177600,467054804.573293
289,1599264000,442472478.61251414
290,1599350400,432144169.8408567
291,1599436800,438965908.3577825
